,Company,Location,Date,Rocket,Country
4058,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-03-09,Soyuz ST-B/Fregat-MT, France
4059,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-03-17,Long March 2D, China
4060,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-03-21,Soyuz FG, Kazakhstan
4061,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-03-29,GSLV Mk II, India
4062,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-03-29,Soyuz 2.1v, Russia
4063,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-03-29,Long March 3B/YZ-1, China
4064,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-03-30,Falcon 9 Block 4, USA
4065,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018-03-31,Long March 4C, China
4066,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-04-02,Falcon 9 Block 4, USA
4067,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-04-05,Ariane 5 ECA, France
4068,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-04-10,Long March 4C, China
4069,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-04-11,PSLV-XL, India
4070,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2018-04-14,Atlas V 551, USA
4071,VKS RF,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2018-04-18,Proton-M/Briz-M, Kazakhstan
4072,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-04-18,Falcon 9 Block 4, USA
4073,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",2018-04-25,Rokot/Briz KM, Russia
4074,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2018-04-26,Long March 11, China
4075,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2018-04-29,New Shepard, USA
4076,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-05-03,Long March 3B/E, China
4077,ULA,"SLC-3E, Vandenberg AFB, California, USA",2018-05-05,Atlas V 401, USA
4078,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018-05-08,Long March 4C, China
4079,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-05-11,Falcon 9 Block 5, USA
4080,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-05-20,Long March 4C, China
4081,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2018-05-21,Antares 230, USA
4082,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-05-22,Falcon 9 Block 4, USA
4083,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-06-02,Long March 2D, China
4084,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-06-04,Falcon 9 Block 4, USA
4085,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-06-05,Long March 3A, China
4086,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-06-06,Soyuz FG, Kazakhstan
4087,MHI,"LA-Y1, Tanegashima Space Center, Japan",2018-06-12,H-IIA 202, Japan
4088,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-06-16,Soyuz 2.1b/Fregat-M, Russia
4089,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-06-27,Long March 2C, China
4090,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-06-29,Falcon 9 Block 4, USA
4091,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-07-09,Long March 2C, China
4092,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-07-09,Long March 3A, China
4093,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-07-09,Soyuz 2.1a, Kazakhstan
4094,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2018-07-18,New Shepard, USA
4095,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-07-22,Falcon 9 Block 5, USA
4096,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-07-25,Ariane 5 ES, France
4097,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-07-25,Falcon 9 Block 5, USA
4098,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-07-29,Long March 3B/YZ-1, China
4099,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018-07-31,Long March 4B, China
4100,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-08-07,Falcon 9 Block 5, USA
4101,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2018-08-12,Delta IV Heavy, USA
4102,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2018-08-22,Vega, France
4103,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-08-24,Long March 3B/YZ-1, China
4104,Exos,"Vertical Launch Area, Spaceport America, New Mexico",2018-08-25,SARGE, New Mexico
4105,CASC,"Taiyuan Satellite Launch Center, China",2018-09-07,Long March 2C, China
4106,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-09-10,Falcon 9 Block 5, USA
4107,ULA,"SLC-2W, Vandenberg AFB, California, USA",2018-09-15,Delta II 7420-10C, USA
4108,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-09-16,PSLV-CA, India
4109,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-09-19,Long March 3B/YZ-1, China
4110,MHI,"LA-Y2, Tanegashima Space Center, Japan",2018-09-22,H-IIB, Japan
4111,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-09-25,Ariane 5 ECA, France
4112,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2018-09-29,Kuaizhou 1A, China
4113,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-10-08,Falcon 9 Block 5, USA
4114,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-10-09,Long March 2C, China
4115,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-10-11,Soyuz FG, Kazakhstan
4116,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-10-15,Long March 3B/YZ-1, China
4117,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2018-10-17,Atlas V 551, USA
4118,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-10-20,Ariane 5 ECA, France
4119,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018-10-24,Long March 4B, China
4120,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-10-25,Soyuz 2.1b, Russia
4121,Landspace,"Site 95, Jiuquan Satellite Launch Center, China",2018-10-27,ZhuQue-1, China
4122,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-10-29,Long March 2C, China
4123,MHI,"LA-Y1, Tanegashima Space Center, Japan",2018-10-29,H-IIA 202, Japan
4124,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-11-01,Long March 3B/E, China
4125,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2018-11-03,Soyuz 2.1b/Fregat, Russia
4126,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-11-07,Soyuz ST-B/Fregat-M, France
4127,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-11-11,Electron/Curie, New Zealand
4128,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-11-14,GSLV Mk III, India
4129,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2018-11-15,Falcon 9 Block 5, USA
4130,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018-11-16,Soyuz FG, Kazakhstan
4131,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2018-11-17,Antares 230, USA
4132,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-11-18,Long March 3B/YZ-1, China
4133,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-11-19,Long March 2D, China
4134,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2018-11-21,Vega, France
4135,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2018-11-29,PSLV-CA, India
4136,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2018-11-30,Rokot/Briz KM, Russia
4137,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2018-12-03,Soyuz FG, Kazakhstan
4138,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018-12-03,Falcon 9 Block 5, USA
4139,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2018-12-04,Ariane 5 ECA, France
4140,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-12-05,Falcon 9 Block 5, USA
4141,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-12-07,Long March 2D, China
4142,CASC,"LC-2, Xichang Satellite Launch Center, China",2018-12-07,Long March 3B/E, China
4143,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2018-12-16,Electron/Curie, New Zealand
